region,county,state,risk_score,lat,lon
"Antelope County, 31.0",Antelope County,31.0,0.007801724597811699,39.8283,-98.5795
"Antrim County, 26.0",Antrim County,26.0,0.0191802978515625,39.8283,-98.5795
"Apache County, 4.0",Apache County,4.0,0.025799999999999997,39.8283,-98.5795
"Appanoose County, 19.0",Appanoose County,19.0,0.0138,39.8283,-98.5795
"Appling County, 13.0",Appling County,13.0,0.012299999999999998,39.8283,-98.5795
"Appomattox County, 51.0",Appomattox County,51.0,0.0108,39.8283,-98.5795
"Aransas County, 48.0",Aransas County,48.0,0.0165,39.8283,-98.5795
"Arapahoe County, 8.0",Arapahoe County,8.0,0.01343744620680809,39.8283,-98.5795
"Archer County, 48.0",Archer County,48.0,0.0126,39.8283,-98.5795
"Archuleta County, 8.0",Archuleta County,8.0,0.01285887137055397,39.8283,-98.5795
"Arecibo Municipio, 72.0",Arecibo Municipio,72.0,0.0216,39.8283,-98.5795
"Arenac County, 26.0",Arenac County,26.0,0.023594576865434647,39.8283,-98.5795
"Arkansas County, 5.0",Arkansas County,5.0,0.0135,39.8283,-98.5795
"Arlington County, 51.0",Arlington County,51.0,0.0105,39.8283,-98.5795
"Armstrong County, 42.0",Armstrong County,42.0,0.015299999999999998,39.8283,-98.5795
"Armstrong County, 48.0",Armstrong County,48.0,0.0099,39.8283,-98.5795
"Aroostook County, 23.0",Aroostook County,23.0,0.013716010376811028,39.8283,-98.5795
"Arroyo Municipio, 72.0",Arroyo Municipio,72.0,0.0339,39.8283,-98.5795
"Arthur County, 31.0",Arthur County,31.0,0.0099,39.8283,-98.5795
"Ascension Parish, 22.0",Ascension Parish,22.0,0.011423153802752495,39.8283,-98.5795
"Ashe County, 37.0",Ashe County,37.0,0.0105,39.8283,-98.5795
"Ashland County, 39.0",Ashland County,39.0,0.014294587075710297,39.8283,-98.5795
"Ashland County, 55.0",Ashland County,55.0,0.0111,39.8283,-98.5795
"Ashley County, 5.0",Ashley County,5.0,0.01847316324710846,39.8283,-98.5795
"Ashtabula County, 39.0",Ashtabula County,39.0,0.013973163440823555,39.8283,-98.5795
"Asotin County, 53.0",Asotin County,53.0,0.010373159311711788,39.8283,-98.5795
"Assumption Parish, 22.0",Assumption Parish,22.0,0.014701730571687222,39.8283,-98.5795
"Atascosa County, 48.0",Atascosa County,48.0,0.0144,39.8283,-98.5795
"Atchison County, 20.0",Atchison County,20.0,0.0138,39.8283,-98.5795
"Atchison County, 29.0",Atchison County,29.0,0.011399999999999999,39.8283,-98.5795
"Athens County, 39.0",Athens County,39.0,0.0204,39.8283,-98.5795
"Atkinson County, 13.0",Atkinson County,13.0,0.011423153802752495,39.8283,-98.5795
"Atlantic County, 34.0",Atlantic County,34.0,0.0195,39.8283,-98.5795
"Atoka County, 40.0",Atoka County,40.0,0.01054458413273096,39.8283,-98.5795
"Attala County, 28.0",Attala County,28.0,0.012899999999999998,39.8283,-98.5795
"Audrain County, 29.0",Audrain County,29.0,0.0135,39.8283,-98.5795
"Audubon County, 19.0",Audubon County,19.0,0.0084,39.8283,-98.5795
"Auglaize County, 39.0",Auglaize County,39.0,0.012299999999999998,39.8283,-98.5795
"Augusta County, 51.0",Augusta County,51.0,0.0093,39.8283,-98.5795
"Aurora County, 46.0",Aurora County,46.0,0.004887443967163563,39.8283,-98.5795
"Austin County, 48.0",Austin County,48.0,0.0135,39.8283,-98.5795
"Autauga County, 1.0",Autauga County,1.0,0.008358873426914215,39.8283,-98.5795
"Avery County, 37.0",Avery County,37.0,0.013866015709936619,39.8283,-98.5795
"Avoyelles Parish, 22.0",Avoyelles Parish,22.0,0.014808876439929008,39.8283,-98.5795
"Baca County, 8.0",Baca County,8.0,0.010608873330056667,39.8283,-98.5795
"Bacon County, 13.0",Bacon County,13.0,0.010887443087995052,39.8283,-98.5795
"Bailey County, 48.0",Bailey County,48.0,0.0138,39.8283,-98.5795
"Baker County, 12.0",Baker County,12.0,0.0138,39.8283,-98.5795
"Baker County, 13.0",Baker County,13.0,0.014316015876829624,39.8283,-98.5795
"Baker County, 41.0",Baker County,41.0,0.0168,39.8283,-98.5795
"Baldwin County, 1.0",Baldwin County,1.0,0.008573158644139767,39.8283,-98.5795
"Baldwin County, 13.0",Baldwin County,13.0,0.011787442490458488,39.8283,-98.5795
"Ballard County, 21.0",Ballard County,21.0,0.016737449914216995,39.8283,-98.5795
"Baltimore City, 24.0",Baltimore City,24.0,0.0168,39.8283,-98.5795
"Baltimore County, 24.0",Baltimore County,24.0,0.012899999999999998,39.8283,-98.5795
"Bamberg County, 45.0",Bamberg County,45.0,0.0198,39.8283,-98.5795
"Bandera County, 48.0",Bandera County,48.0,0.013200000000000002,39.8283,-98.5795
"Banks County, 13.0",Banks County,13.0,0.009108874946832657,39.8283,-98.5795
"Banner County, 31.0",Banner County,31.0,0.0117,39.8283,-98.5795
"Bannock County, 16.0",Bannock County,16.0,0.0126,39.8283,-98.5795
"Baraga County, 26.0",Baraga County,26.0,0.024044597521424294,39.8283,-98.5795
"Barber County, 20.0",Barber County,20.0,0.011399999999999999,39.8283,-98.5795
"Barbour County, 1.0",Barbour County,1.0,0.01249458733946085,39.8283,-98.5795
"Barbour County, 54.0",Barbour County,54.0,0.01446602214127779,39.8283,-98.5795
"Barceloneta Municipio, 72.0",Barceloneta Municipio,72.0,0.021299999999999996,39.8283,-98.5795
"Barnes County, 38.0",Barnes County,38.0,0.009216014295816422,39.8283,-98.5795
"Barnstable County, 25.0",Barnstable County,25.0,0.0153660224750638,39.8283,-98.5795
"Barnwell County, 45.0",Barnwell County,45.0,0.0192,39.8283,-98.5795
"Barranquitas Municipio, 72.0",Barranquitas Municipio,72.0,0.015623158775269985,39.8283,-98.5795
"Barren County, 21.0",Barren County,21.0,0.0168017391115427,39.8283,-98.5795
"Barron County, 55.0",Barron County,55.0,0.011444581672549248,39.8283,-98.5795
"Barrow County, 13.0",Barrow County,13.0,0.0093,39.8283,-98.5795
"Barry County, 26.0",Barry County,26.0,0.01570887491106987,39.8283,-98.5795
"Barry County, 29.0",Barry County,29.0,0.015600000000000001,39.8283,-98.5795
"Bartholomew County, 18.0",Bartholomew County,18.0,0.011701731942594051,39.8283,-98.5795
"Barton County, 20.0",Barton County,20.0,0.0126,39.8283,-98.5795
"Barton County, 29.0",Barton County,29.0,0.0147,39.8283,-98.5795
"Bartow County, 13.0",Bartow County,13.0,0.010137442499399185,39.8283,-98.5795
"Bastrop County, 48.0",Bastrop County,48.0,0.0126,39.8283,-98.5795
"Bates County, 29.0",Bates County,29.0,0.013200000000000002,39.8283,-98.5795
"Bath County, 21.0",Bath County,21.0,0.02055172622203827,39.8283,-98.5795
